rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,GATWICK,40897656,32835381,24.553620986,40894242,32831088,24.559508963,3414,4293,-20.475192173
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,HEATHROW,79180434,61611838,28.514968179,79149042,61596618,28.495759296,31392,15220,106.254927727
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,LONDON CITY,3429684,3009313,13.969002227,3429684,3009313,13.969002227,0,0,
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,LUTON,16403784,13324491,23.110023490,16399866,13322236,23.101452339,3918,2255,73.747228381
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,SOUTHEND,146072,89361,63.462808160,146072,89361,63.462808160,0,0,
3/19/2024 1:15:09 PM,2023,2022,1,1,London Area Airports,STANSTED,27951291,23290097,20.013630686,27951116,23289652,20.015172404,175,445,-60.674157303
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,ABERDEEN,2229918,1960307,13.753509017,2229918,1959883,13.778118388,0,424,
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BARRA,12849,13102,-1.931002900,12849,13102,-1.931002900,0,0,
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2115153,1655164,27.791143355,2115153,1655156,27.791761018,0,8,
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BELFAST INTERNATIONAL,5957055,4818214,23.636164770,5956888,4818214,23.632698755,167,0,
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BENBECULA,30779,30414,1.200105215,30660,30230,1.422428052,119,184,-35.326086957
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BIGGIN HILL,6495,4002,62.293853073,6495,4002,62.293853073,0,0,
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BIRMINGHAM,11481365,9622548,19.317305562,11479335,9620727,19.318789526,2030,1821,11.477210324
3/19/2024 1:15:09 PM,2023,2022,1,3,Other UK Airports,BLACKPOOL,14365,9428,52.365294866,14365,9428,52.365294866,0,0,
