rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
3/19/2024 1:23:52 PM,2023,Other UK Airports,LIVERPOOL (JOHN LENNON),225.242000,3.971000,8.989000,0.374000,0.053000,0.027000,0.000000,0.000000,3.253000,119.731000,6.822000,73.221000,8.801000
3/19/2024 1:23:52 PM,2023,Other UK Airports,MANCHESTER,67830.628000,2863.105000,4877.223000,735.462000,843.464000,36758.696000,20499.812000,570.636000,630.981000,23.117000,0.066000,16.506000,11.560000
3/19/2024 1:23:52 PM,2023,Other UK Airports,NEWCASTLE,3548.874000,0.675000,0.024000,2.222000,1.795000,1205.289000,1187.199000,0.000000,166.609000,0.000000,0.000000,427.354000,557.707000
3/19/2024 1:23:52 PM,2023,Other UK Airports,NORWICH,475.413000,0.000000,0.019000,0.000000,0.114000,0.000000,0.000000,219.419000,255.861000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Other UK Airports,PRESTWICK,10673.157000,170.013000,5.478000,5926.857000,3616.097000,0.000000,0.000000,10.085000,0.000000,76.458000,152.761000,272.012000,443.396000
3/19/2024 1:23:52 PM,2023,Other UK Airports,SOUTHAMPTON,32.895000,21.324000,11.319000,0.098000,0.154000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Other UK Airports,STORNOWAY,105.286000,97.269000,8.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Other UK Airports,SUMBURGH,179.109000,77.128000,5.745000,0.000000,0.000000,0.000000,0.000000,45.347000,50.889000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,62.255000,0.000000,0.000000,0.000000,0.043000,0.000000,0.000000,0.000000,0.000000,30.926000,3.000000,28.286000,0.000000
3/19/2024 1:23:52 PM,2023,Other UK Airports,TIREE,4.415000,4.009000,0.406000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Non UK Reporting Airports,ALDERNEY,37.816000,29.488000,8.328000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Non UK Reporting Airports,GUERNSEY,432.719000,14.921000,33.282000,0.000000,0.000000,0.000000,0.000000,259.775000,124.726000,0.000000,0.015000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Non UK Reporting Airports,ISLE OF MAN,55.575000,10.840000,1.959000,0.000000,0.000000,0.000000,0.000000,39.831000,2.945000,0.000000,0.000000,0.000000,0.000000
3/19/2024 1:23:52 PM,2023,Non UK Reporting Airports,JERSEY,560.574000,377.073000,183.488000,0.000000,0.000000,0.000000,0.000000,0.013000,0.000000,0.000000,0.000000,0.000000,0.000000

