rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
19/03/2024 13:08,2023,2022,London Area Airports,GATWICK,257778,257778,0,217495,217478,17,18.521345,18.530610,-.000000
19/03/2024 13:08,2023,2022,London Area Airports,HEATHROW,463854,459637,4217,384383,373531,10852,20.674952,23.051902,-61.140804
19/03/2024 13:08,2023,2022,London Area Airports,LONDON CITY,50525,50525,0,44731,44731,0,12.952986,12.952986,
19/03/2024 13:08,2023,2022,London Area Airports,LUTON,100378,98917,1461,87783,86151,1632,14.347881,14.818168,-10.477941
19/03/2024 13:08,2023,2022,London Area Airports,SOUTHEND,994,963,31,1120,649,471,-11.250000,48.382126,-93.418259
19/03/2024 13:08,2023,2022,London Area Airports,STANSTED,179030,170188,8842,159502,150186,9316,12.243107,13.318152,-5.088021
19/03/2024 13:08,2023,2022,Other UK Airports,ABERDEEN,58049,57625,424,56882,56641,241,2.051616,1.737257,75.933610
19/03/2024 13:08,2023,2022,Other UK Airports,BARRA,1383,1383,0,1456,1456,0,-5.013736,-5.013736,
19/03/2024 13:08,2023,2022,Other UK Airports,BELFAST CITY (GEORGE BEST),29373,29373,0,25308,25308,0,16.062115,16.062115,
19/03/2024 13:08,2023,2022,Other UK Airports,BELFAST INTERNATIONAL,47748,43661,4087,38489,34109,4380,24.056224,28.004339,-6.689498
19/03/2024 13:08,2023,2022,Other UK Airports,BENBECULA,2007,1457,550,1977,1691,286,1.517451,-13.837966,92.307692
19/03/2024 13:08,2023,2022,Other UK Airports,BIGGIN HILL,640,640,0,656,656,0,-2.439024,-2.439024,
19/03/2024 13:08,2023,2022,Other UK Airports,BIRMINGHAM,81049,79075,1974,71927,69836,2091,12.682303,13.229566,-5.595409
19/03/2024 13:08,2023,2022,Other UK Airports,BLACKPOOL,4030,4030,0,2763,2763,0,45.855954,45.855954,
19/03/2024 13:08,2023,2022,Other UK Airports,BOURNEMOUTH,6024,5780,244,5066,4965,101,18.910383,16.414904,141.584158
19/03/2024 13:08,2023,2022,Other UK Airports,BRISTOL,68635,68635,0,56391,56391,0,21.712685,21.712685,
19/03/2024 13:08,2023,2022,Other UK Airports,CAMPBELTOWN,1057,1057,0,1060,1060,0,-0.283019,-0.283019,
