rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,GATWICK,250520,259962,267760,280666,285912,283919,284987,80161,55817,217622,256893,18.045510105
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,HEATHROW,471936,472802,474087,474963,475783,477604,478059,204730,195336,380305,456600,20.061529562
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,LONDON CITY,74006,76260,84753,85169,80490,80854,84260,19069,14463,46514,52101,12.011437417
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,LUTON,95763,101950,114083,128519,133743,136511,141858,59769,61703,118063,128430,8.780905110
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,SOUTHEND,29443,30514,23538,23449,26674,32531,36327,18401,34114,26624,31546,18.487079327
19/03/2024 12:55,2013 - 2023,1,1,London Area Airports,STANSTED,146324,157117,168629,180430,189919,201614,199925,86107,93316,176914,195438,10.470624145
19/03/2024 12:55,2013 - 2023,1,2,London Heliports,EDMISTON LONDON HELIPORT,7650,8925,10352,11347,11899,10989,10200,3808,5779,9012,8602,-4.549489569
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,ABERDEEN,118219,124282,112357,96156,97007,91279,91248,59250,62986,74098,73442,-0.885314044
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BARRA,966,988,1034,1347,1412,1439,1389,924,1147,1274,1250,-1.883830455
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),38050,37112,41782,42475,36332,35959,35382,10359,12819,25368,29282,15.428886787
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,54003,50973,52246,55155,58152,60541,59259,32983,33964,49942,57761,15.656161147
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BENBECULA,3708,3504,3517,3648,3420,3650,3484,2367,2931,2772,2525,-8.910533911
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BIGGIN HILL,41493,45477,50481,52970,50000,43343,39390,29856,38034,46633,40744,-12.628396200
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BIRMINGHAM,95713,97346,98015,113184,122067,111828,109357,35647,35411,78707,86584,10.008004371
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BLACKPOOL,41406,32776,33075,33749,33429,37526,36289,25404,39587,37259,38918,4.452615475
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BOURNEMOUTH,47174,43122,43020,36922,34641,39886,38540,28370,38304,29186,20650,-29.246899198
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,BRISTOL,65299,64230,68074,73536,76199,72927,69434,29191,32278,65909,77260,17.222230651
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,CAMBRIDGE,19785,20036,19215,20226,20749,19280,16732,10888,17371,18033,16466,-8.689624577
19/03/2024 12:55,2013 - 2023,1,3,Other UK Airports,CAMPBELTOWN,1596,1628,1520,1452,1410,1887,1823,1032,1094,1340,1433,6.940298507
