rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,LANDS END (ST JUST),6985,5530,8101,8819,7312,8587,8310,4196,5244,5927,5362,-9.532647208
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,LEEDS BRADFORD,30393,29873,31149,31679,34533,31525,29746,8123,8480,25943,29281,12.866669236
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,LERWICK (TINGWALL),1329,1043,1161,1149,1023,955,904,481,729,823,867,5.346294046
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),32947,29777,32882,38287,35435,35914,34976,13676,13233,26766,31518,17.753866846
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,LYDD,127,108,160,85,150,58,13,0,5,0,1,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,MANCHESTER,161050,162919,164710,184578,196490,194131,195926,63022,60376,151724,173688,14.476285888
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,MANSTON (KENT INT),1640,621,0,0,0,0,0,0,0,0,0,
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,NEWCASTLE,42974,42873,42069,42390,43917,42412,40169,12305,12751,31606,35856,13.446813896
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,NEWQUAY,4966,5938,5976,7046,8230,7631,8206,1542,2146,4146,6048,45.875542692
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,NORWICH,22056,23117,22898,23659,23564,20575,19729,10284,12133,15291,14661,-4.120070630
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,OXFORD (KIDLINGTON),579,55,6,23,2,3,0,8,11,1,1,0
19/03/2024 12:57,2023 - 2023,1,3,Other UK Airports,PRESTWICK,8606,6615,4264,4693,4988,4827,4619,2000,2050,3747,3849,2.722177742
