rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,EXETER,1.379000,0.647000,0.233000,0.165000,6.801000,0.072000,0.006000,0.000000,0.000000,0.000000,8.865000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,GLASGOW,11836.730000,15410.756000,13192.821000,12952.474000,15934.543000,15466.051000,12822.485000,6601.309000,5435.804000,6618.405000,5516.102000,-17.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,HUMBERSIDE,152.631000,128.585000,148.430000,122.865000,93.127000,121.472000,116.743000,51.980000,83.859000,74.429000,62.452000,-16.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,ISLAY,206.526000,218.308000,232.894000,231.179000,267.821000,282.876000,313.318000,69.245000,103.200000,222.459000,245.959000,11.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,ISLES OF SCILLY (ST.MARYS),67.200000,78.400000,58.900000,75.500000,60.200000,73.800000,68.100000,82.300000,94.800000,97.300000,111.000000,14.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,KIRKWALL,37.895000,35.652000,38.094000,34.645000,35.054000,37.785000,32.957000,21.276000,23.622000,23.055000,21.142000,-8.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,LANDS END (ST JUST),60.900000,56.600000,68.600000,70.900000,70.100000,65.200000,71.000000,82.800000,93.800000,98.000000,83.300000,-15.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,LEEDS BRADFORD,323.878000,67.577000,8.318000,22.225000,14.518000,3.029000,0.413000,0.413000,0.002000,0.150000,0.593000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,LIVERPOOL (JOHN LENNON),278.126000,236.343000,197.326000,269.717000,122.949000,159.063000,783.903000,294.038000,602.574000,1676.172000,225.242000,-87.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,LYDD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,MANCHESTER,96373.207000,93465.982000,100020.656000,109630.182000,120181.422000,114130.669000,108382.249000,48938.213000,52564.395000,65402.838000,67830.628000,4.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,MANSTON (KENT INT),29306.213000,12696.223000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,NEWCASTLE,3700.912000,4450.404000,3717.123000,4574.423000,5481.735000,5524.021000,4744.835000,1039.040000,1519.133000,2449.072000,3548.874000,45.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,NEWQUAY,0.000000,11.934000,0.000000,2.031000,11.980000,2.756000,2.388000,1.594000,0.088000,0.460000,0.568000,0.000000
19/03/2024 13:20:52,2013 - 2023,Other UK Airports,NORWICH,160.274000,247.080000,345.662000,407.351000,332.117000,219.593000,257.308000,178.226000,119.576000,112.240000,475.413000,324.000000
