rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,54643,57043,57197,56378,55401,56949,57133,56219,35272,35351,46802,32.392294419
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,EDINBURGH,102884,103828,101407,107208,116281,122707,125426,127335,43634,39457,93004,135.709759992
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,EXETER,12080,12511,12469,12967,13442,13761,13512,14521,3161,4076,6388,56.722276742
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,GLASGOW,72287,72506,74036,80321,85380,88798,85877,79276,26702,27652,58690,112.245045566
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,GLOUCESTERSHIRE,1402,1256,1227,1210,1099,137,0,0,1,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,HUMBERSIDE,12518,11672,11970,10911,9188,6803,7618,7341,3067,3697,4261,15.255612659
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,INVERNESS,10377,10011,9624,10581,11206,12245,12007,12733,4620,5848,10349,76.966484268
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,ISLAY,1353,1558,1540,1611,1612,1908,1832,2021,1192,1258,1397,11.049284579
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10157,10816,9483,10585,11575,10031,10587,10734,5345,7615,8727,14.602757715
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),1560,0,0,0,0,0,0,0,0,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,KIRKWALL,9728,10786,10747,10701,11045,12008,11840,11256,7452,8446,9881,16.990291262
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,LANDS END (ST JUST),5785,6985,5530,8101,8819,7312,8587,8310,4196,5244,5927,13.024408848
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,LEEDS BRADFORD,30223,30393,29873,31149,31679,34533,31525,29746,8123,8480,25943,205.931603774
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,LERWICK (TINGWALL),1545,1329,1043,1161,1149,1023,955,904,481,729,823,12.894375857
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),35853,32947,29777,32882,38287,35435,35914,34976,13676,13233,26766,102.267059624
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,LYDD,97,127,108,160,85,150,58,13,0,5,0,-100.000000000
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,MANCHESTER,160473,161050,162919,164710,184578,196490,194131,195926,63022,60376,151724,151.298529217
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,MANSTON (KENT INT),687,1640,621,0,0,0,0,0,0,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,NEWCASTLE,43660,42974,42873,42069,42390,43917,42412,40169,12305,12751,31606,147.870755235
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,NEWQUAY,4747,4966,5938,5976,7046,8230,7631,8206,1542,2146,4146,93.196644921
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,NORWICH,15915,22056,23117,22898,23659,23564,20575,19729,10284,12133,15291,26.028187588
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,OXFORD (KIDLINGTON),713,579,55,6,23,2,3,0,8,11,1,-90.909090909
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,PENZANCE HELIPORT,3444,0,0,0,0,0,0,0,0,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,PRESTWICK,8152,8606,6615,4264,4693,4988,4827,4619,2000,2050,3747,82.780487805
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,SCATSTA,13626,13174,12381,11239,7465,7780,8081,4820,1695,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,SHOREHAM,435,664,382,370,143,0,0,0,0,0,0,
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,SOUTHAMPTON,38639,36054,35710,34249,37461,39285,35750,32529,9066,8464,16253,92.025047259
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,STORNOWAY,6446,6340,6296,6284,6279,6919,6903,5876,2688,3228,4526,40.210656753
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,SUMBURGH,7072,9197,10227,11057,11931,11622,10474,12600,6633,9346,11333,21.260432270
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,4202,4327,4047,3920,3684,4117,3802,3630,2044,3987,3430,-13.970403812
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,TIREE,885,985,1018,1248,1714,1764,1769,1600,1069,1264,1471,16.376582278
20/03/2023 10:04,2022 - 2022,1,3,Other UK Airports,WICK JOHN O GROATS,2152,3337,2364,2203,1775,1750,1526,1397,257,2,875,43650.000000000
20/03/2023 10:04,2022 - 2022,2,4,Non UK Reporting Airports,ALDERNEY,6652,6379,6183,5802,5584,5742,4955,4702,2468,3341,4222,26.369350494
20/03/2023 10:04,2022 - 2022,2,4,Non UK Reporting Airports,GUERNSEY,33957,32982,25766,23608,23572,22629,20930,23030,8624,9371,16127,72.094760431
20/03/2023 10:04,2022 - 2022,2,4,Non UK Reporting Airports,ISLE OF MAN,22995,20372,17332,19081,19007,14930,14097,13530,4832,4612,8842,91.717259324
20/03/2023 10:04,2022 - 2022,2,4,Non UK Reporting Airports,JERSEY,36931,34299,28400,25453,25655,24020,23828,24972,7697,10051,17081,69.943289225

