rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
23/10/2023 17:33:57,2022,Other UK Airports,  MANCHESTER,1100.716000,978.716000,112.233000,37.839000,61825.157000,59.596000,1269.533000,12.813000,6.235000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  NEWCASTLE,2.872000,0.000000,0.000000,1088.933000,1351.578000,0.000000,0.000000,0.000000,0.222000,0.000000,0.000000,5.467000
23/10/2023 17:33:57,2022,Other UK Airports,  NORWICH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.240000,0.000000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  PRESTWICK,0.314000,4206.272000,0.256000,85.387000,0.000000,8015.691000,0.000000,2467.267000,0.000000,361.775000,0.171000,160.710000
23/10/2023 17:33:57,2022,Other UK Airports,  SOUTHAMPTON,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.714000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.205000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,81.182000,0.049000,96.773000,0.000000,21.389000,0.012000
23/10/2023 17:33:57,2022,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.986000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.892000,0.353000,0.000000,0.000000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  GUERNSEY,0.099000,0.023000,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,43.463000,0.413000,0.006000,678.835000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  ISLE OF MAN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.005000,0.000000,0.000000,38.678000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  JERSEY,0.000000,0.000000,0.151000,0.000000,0.000000,0.000000,0.000000,0.000000,38.404000,956.706000,0.150000,5.652000

