rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
3/14/2025 12:14:25 PM,2024,London Area Airports,GATWICK,103960.761000,8340.147000,22989.767000,158.387000,273.569000,54538.589000,15162.568000,1685.569000,812.165000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,London Area Airports,HEATHROW,1532299.079000,273228.354000,330828.874000,20983.222000,23264.442000,480677.985000,377301.873000,113.933000,9.959000,19857.537000,3043.922000,2787.458000,201.520000
3/14/2025 12:14:25 PM,2024,London Area Airports,LUTON,29684.582000,0.000000,3.557000,17670.858000,934.980000,1257.730000,407.285000,0.521000,0.000000,7549.240000,1860.411000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,London Area Airports,STANSTED,294355.062000,10347.105000,1623.185000,26623.089000,4127.996000,155266.111000,87340.137000,7.636000,93.088000,0.000000,0.000000,8167.426000,759.289000
3/14/2025 12:14:25 PM,2024,Other UK Airports,ABERDEEN,6599.191000,2847.492000,2420.406000,23.693000,22.397000,92.495000,71.659000,397.288000,723.761000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BARRA,4.547000,4.506000,0.041000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BELFAST CITY (GEORGE BEST),8.257000,6.041000,2.216000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BELFAST INTERNATIONAL,24724.373000,17008.539000,6758.454000,0.323000,3.332000,0.000000,784.933000,0.000000,0.000000,0.000000,0.000000,0.000000,168.792000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BENBECULA,24.339000,17.768000,2.825000,0.000000,0.000000,0.000000,0.000000,3.393000,0.353000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BIRMINGHAM,53744.856000,4.457000,16.843000,12004.848000,1545.499000,23033.472000,6473.359000,250.809000,31.281000,88.115000,84.862000,9617.971000,593.340000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BOURNEMOUTH,26584.814000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24381.498000,1167.451000,1035.865000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,BRISTOL,2.622000,0.477000,0.019000,1.921000,0.144000,0.000000,0.000000,0.061000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,CARDIFF WALES,1829.275000,0.000000,0.000000,0.097000,0.150000,0.000000,0.000000,1829.028000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,EAST MIDLANDS INTERNATIONAL,342986.615000,115687.261000,91196.880000,31101.846000,23527.813000,25778.380000,21153.979000,134.271000,55.903000,21735.809000,11204.666000,1409.807000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,EDINBURGH,20571.085000,6499.099000,3889.449000,303.506000,212.488000,7642.401000,1937.717000,84.860000,1.528000,0.000000,0.037000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,GLASGOW,6530.521000,26.040000,175.446000,28.637000,18.930000,2840.238000,3180.093000,17.332000,237.094000,0.000000,6.711000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,HUMBERSIDE,64.135000,0.015000,0.000000,0.000000,0.204000,0.000000,0.000000,24.564000,31.352000,4.000000,4.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,ISLAY,243.879000,118.269000,125.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,ISLES OF SCILLY (ST.MARYS),54.400000,42.400000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,KIRKWALL,26.462000,7.660000,14.528000,0.000000,0.000000,0.000000,0.000000,3.672000,0.602000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,LANDS END (ST JUST),53.200000,11.200000,42.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,LIVERPOOL (JOHN LENNON),12.473000,7.551000,4.701000,0.048000,0.173000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,MANCHESTER,88395.524000,4513.404000,11354.630000,1049.450000,1295.614000,46614.230000,22719.141000,358.459000,479.708000,10.888000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,NEWCASTLE,6079.656000,1.724000,0.139000,0.895000,0.823000,4218.702000,1600.554000,0.000000,0.000000,1.120000,0.000000,151.754000,103.945000
3/14/2025 12:14:25 PM,2024,Other UK Airports,NEWQUAY,0.881000,0.523000,0.001000,0.357000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,NORWICH,34.306000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.782000,18.524000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,PRESTWICK,9514.513000,9.705000,0.000000,5608.632000,3195.768000,0.000000,0.000000,21.540000,10.000000,1.562000,45.785000,175.547000,445.974000
3/14/2025 12:14:25 PM,2024,Other UK Airports,SOUTHAMPTON,80.963000,69.095000,11.843000,0.010000,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,STORNOWAY,91.265000,83.413000,7.852000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,SUMBURGH,193.834000,65.691000,6.460000,0.000000,0.000000,0.000000,0.000000,65.474000,56.209000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,449.733000,0.000000,0.000000,0.000000,0.000000,0.000000,440.733000,0.000000,0.000000,4.500000,4.500000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Other UK Airports,TIREE,4.038000,3.633000,0.405000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Non UK Reporting Airports,ALDERNEY,36.649000,26.890000,9.759000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Non UK Reporting Airports,GUERNSEY,357.941000,17.334000,34.612000,0.000000,0.000000,0.000000,0.000000,215.720000,90.275000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Non UK Reporting Airports,ISLE OF MAN,12.348000,8.111000,2.126000,0.000000,0.000000,0.000000,0.000000,2.111000,0.000000,0.000000,0.000000,0.000000,0.000000
3/14/2025 12:14:25 PM,2024,Non UK Reporting Airports,JERSEY,506.027000,319.968000,185.888000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171000,0.000000,0.000000

