rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
3/14/2025 11:05:03 AM,2024,2023,London Area Airports,GATWICK,2129.573,1840.235,16,0.000,0.000,,2129.573,1840.235,16
3/14/2025 11:05:03 AM,2024,2023,London Area Airports,HEATHROW,42796.039,42836.453,0,150.558,93.467,61,42946.597,42929.920,0
3/14/2025 11:05:03 AM,2024,2023,London Area Airports,LUTON,4.677,0.481,872,977.054,869.991,12,981.731,870.472,13
3/14/2025 11:05:03 AM,2024,2023,London Area Airports,SOUTHEND,0.000,0.000,,0.000,0.674,,0.000,0.674,
3/14/2025 11:05:03 AM,2024,2023,London Area Airports,STANSTED,28.108,0.000,,6031.924,11380.324,(47),6060.032,11380.324,(47)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,ABERDEEN,0.942,7.062,(87),918.528,178.254,415,919.470,185.316,396
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,BELFAST INTERNATIONAL,0.212,0.022,864,13620.853,14501.359,(6),13621.065,14501.381,(6)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,BENBECULA,0.155,0.033,370,557.936,499.715,12,558.091,499.748,12
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,BIRMINGHAM,12.578,88.201,(86),1.641,0.000,,14.219,88.201,(84)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,BOURNEMOUTH,0.000,0.773,,0.000,0.000,,0.000,0.773,
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.000,,14746.773,17795.086,(17),14746.773,17795.086,(17)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,EDINBURGH,69.056,64.874,6,10689.679,14490.520,(26),10758.735,14555.394,(26)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,EXETER,0.000,0.000,,2081.949,2950.543,(29),2081.949,2950.543,(29)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,GLASGOW,116.172,114.923,1,1857.694,0.447,415491,1973.866,115.370,1611
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,INVERNESS,1.961,2.182,(10),2627.397,4373.846,(40),2629.358,4376.028,(40)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,ISLAY,80.432,82.384,(2),0.000,0.000,,80.432,82.384,(2)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,ISLES OF SCILLY (ST.MARYS),19.400,20.800,(7),238.100,194.100,23,257.500,214.900,20
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,KIRKWALL,15.805,15.579,1,959.005,1033.392,(7),974.810,1048.971,(7)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,LANDS END (ST JUST),18.500,22.000,(16),236.300,194.000,22,254.800,216.000,18
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,MANCHESTER,424.914,729.908,(42),0.000,0.000,,424.914,729.908,(42)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,NEWQUAY,0.034,0.538,(94),0.000,0.000,,0.034,0.538,(94)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,PRESTWICK,0.000,0.085,,17.090,0.000,,17.090,0.085,20006
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,STORNOWAY,0.627,0.616,2,844.499,900.426,(6),845.126,901.042,(6)
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,SUMBURGH,0.210,0.633,(67),1098.334,992.377,11,1098.544,993.010,11
3/14/2025 11:05:03 AM,2024,2023,Other UK Airports,TIREE,33.594,36.399,(8),0.000,0.000,,33.594,36.399,(8)
3/14/2025 11:05:03 AM,2024,2023,Non UK Reporting Airports,ALDERNEY,61.442,62.918,(2),0.665,0.493,35,62.107,63.411,(2)
3/14/2025 11:05:03 AM,2024,2023,Non UK Reporting Airports,GUERNSEY,61.263,63.301,(3),2089.690,2154.419,(3),2150.953,2217.720,(3)
3/14/2025 11:05:03 AM,2024,2023,Non UK Reporting Airports,ISLE OF MAN,10.011,3.760,166,0.000,1172.706,,10.011,1176.466,(99)
3/14/2025 11:05:03 AM,2024,2023,Non UK Reporting Airports,JERSEY,2.536,3.118,(19),0.000,987.557,,2.536,990.675,(100)

