rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,GATWICK,43249282,40897656,5.750026358,43242155,40894242,5.741426874,7127,3414,108.758055067
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,HEATHROW,83882140,79180434,5.937964422,83857297,79149042,5.948593793,24843,31392,-20.862003058
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,LONDON CITY,3573250,3429684,4.185983315,3573250,3429684,4.185983315,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,LUTON,16939902,16403784,3.268258104,16937118,16399866,3.275953596,2784,3918,-28.943338438
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,SOUTHEND,287758,146072,96.997371159,287758,146072,96.997371159,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,1,London Area Airports,STANSTED,29694316,27951291,6.235937367,29694312,27951116,6.236588192,4,175,-97.714285714
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,ABERDEEN,2300657,2229918,3.172269115,2300657,2229918,3.172269115,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BARRA,11064,12849,-13.892131683,11057,12849,-13.946610631,7,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2391124,2115153,13.047330382,2391042,2115153,13.043453594,82,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BELFAST INTERNATIONAL,6750440,5957055,13.318409852,6750440,5956888,13.321586708,0,167,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BENBECULA,26494,30779,-13.921829819,26471,30660,-13.662752772,23,119,-80.672268908
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BIGGIN HILL,8353,6495,28.606620477,8353,6495,28.606620477,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BIRMINGHAM,12848201,11481365,11.904821421,12847682,11479335,11.920089448,519,2030,-74.433497537
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BLACKPOOL,18729,14365,30.379394361,18729,14365,30.379394361,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BOURNEMOUTH,1088370,950206,14.540425971,1088370,950028,14.561886597,0,178,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,BRISTOL,10615864,9913011,7.090207002,10614415,9911879,7.087818566,1449,1132,28.003533569
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CAMPBELTOWN,7028,7120,-1.292134831,7007,7082,-1.059022875,21,38,-44.736842105
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CARDIFF WALES,875651,838574,4.421434483,874714,837252,4.474399583,937,1322,-29.122541604
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),179095,154486,15.929598799,179095,154486,15.929598799,0,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,DUNDEE,36071,38508,-6.328555105,30355,32862,-7.628872254,5716,5646,1.239815799
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4133398,3932497,5.108738799,4133198,3932497,5.103652972,200,0,
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EDINBURGH,15780353,14396794,9.610188213,15779491,14395463,9.614334739,862,1331,-35.236664162
3/14/2025 11:37:31 AM,2024,2023,1,3,Other UK Airports,EXETER,449722,433067,3.845825242,449722,433067,3.845825242,0,0,
