rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,GATWICK,259962,267760,280666,285912,283919,284987,80161,55817,217622,256893,265358,3.295146228
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,HEATHROW,472802,474087,474963,475783,477604,478059,204730,195336,380305,456600,476119,4.274857643
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,LONDON CITY,76260,84753,85169,80490,80854,84260,19069,14463,46514,52101,50956,-2.197654556
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,LUTON,101950,114083,128519,133743,136511,141858,59769,61703,118063,128430,131962,2.750136261
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,SOUTHEND,30514,23538,23449,26674,32531,36327,18401,34114,26624,31546,27134,-13.985925315
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,STANSTED,157117,168629,180430,189919,201614,199925,86107,93316,176914,195438,201031,2.861777136
14/03/2025 11:02,2014 - 2024,1,2,London Heliports,EDMISTON LONDON HELIPORT,8925,10352,11347,11899,10989,10200,3808,5779,9012,8602,8781,2.080911416
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,ABERDEEN,124282,112357,96156,97007,91279,91248,59250,62986,74098,73442,72100,-1.827292285
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BARRA,988,1034,1347,1412,1439,1389,924,1147,1274,1250,1264,1.120000000
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),37112,41782,42475,36332,35959,35382,10359,12819,25368,29282,30302,3.483368622
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,50973,52246,55155,58152,60541,59259,32983,33964,49942,57761,60480,4.707328474
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BENBECULA,3504,3517,3648,3420,3650,3484,2367,2931,2772,2525,2534,0.356435644
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BIGGIN HILL,45477,50481,52970,50000,43343,39390,29856,38034,46633,40744,39535,-2.967308070
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BIRMINGHAM,97346,98015,113184,122067,111828,109357,35647,35411,78707,86584,94130,8.715236071
