rundate,span,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
14/03/2025 11:28:14,2014 - 2024,Other UK Airports,  PRESTWICK,0.002000,0.000000,0.000000,11.114000,0.000000,16.834000,0.000000,7.038000,0.000000,0.085000,17.090000,0.000000
14/03/2025 11:28:14,2014 - 2024,Other UK Airports,  SOUTHAMPTON,0.067000,9.578000,40.650000,19.529000,9.950000,36.790000,26.112000,3.470000,0.432000,0.150000,0.154000,0.000000
14/03/2025 11:28:14,2014 - 2024,Other UK Airports,  STORNOWAY,0.006000,0.586000,0.229000,2.100000,0.726000,88.353000,0.420000,3.245000,206.809000,901.042000,845.126000,-6.000000
14/03/2025 11:28:14,2014 - 2024,Other UK Airports,  SUMBURGH,1.259000,0.139000,0.101000,0.771000,2.099000,0.023000,218.290000,244.076000,206.228000,993.010000,1098.544000,11.000000
14/03/2025 11:28:14,2014 - 2024,Other UK Airports,  TIREE,33.008000,36.139000,37.242000,36.643000,38.093000,41.278000,45.442000,54.340000,44.250000,36.399000,33.594000,-6.000000
14/03/2025 11:28:14,2014 - 2024,Non UK Reporting Airports,  ALDERNEY,82.127000,82.342000,72.946000,78.400000,103.359000,96.056000,86.411000,90.329000,78.021000,63.411000,62.107000,-2.000000
14/03/2025 11:28:14,2014 - 2024,Non UK Reporting Airports,  GUERNSEY,2744.185000,2790.904000,2948.357000,2860.827000,2791.700000,2766.950000,2906.716000,2926.826000,2323.726000,2217.720000,2150.953000,-3.000000
14/03/2025 11:28:14,2014 - 2024,Non UK Reporting Airports,  ISLE OF MAN,2521.440000,2490.414000,2532.166000,2233.134000,1865.132000,1867.666000,1810.945000,1686.753000,1506.821000,1176.466000,10.011000,-99.000000
14/03/2025 11:28:14,2014 - 2024,Non UK Reporting Airports,  JERSEY,1728.249000,1745.951000,1593.397000,2230.771000,1753.231000,2027.275000,2159.897000,1896.255000,1420.594000,990.675000,2.536000,-100.000000

