rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
14/03/2025 11:09,2024,London Area Airports,GATWICK,174168,165181,165181,8987,8987,65183,62027,62027,3156,3156,26257,26231,26231,26,26
14/03/2025 11:09,2024,London Area Airports,HEATHROW,210468,209514,208783,954,100,229595,229504,228504,91,40,42080,42077,42077,3,2
14/03/2025 11:09,2024,London Area Airports,LONDON CITY,33905,33901,33901,4,4,4436,4436,4436,0,0,10547,10546,10546,1,1
14/03/2025 11:09,2024,London Area Airports,LUTON,75476,74097,73080,1379,705,17161,16940,16878,221,221,9960,9958,9957,2,2
14/03/2025 11:09,2024,London Area Airports,SOUTHEND,1904,1886,1886,18,18,94,94,94,0,0,9,9,9,0,0
14/03/2025 11:09,2024,London Area Airports,STANSTED,150912,149256,144929,1656,1655,26741,26243,21752,498,249,11334,10718,10472,616,8
14/03/2025 11:09,2024,Other UK Airports,ABERDEEN,6551,6182,6180,369,369,30802,3239,3237,27563,27298,23324,19623,19116,3701,2986
14/03/2025 11:09,2024,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1367,1367,1367,0,0
14/03/2025 11:09,2024,Other UK Airports,BELFAST CITY (GEORGE BEST),1622,1449,1449,173,173,10,0,0,10,10,28739,28723,28723,16,16
14/03/2025 11:09,2024,Other UK Airports,BELFAST INTERNATIONAL,14990,14386,13924,604,604,1598,1471,1451,127,125,35276,35248,31750,28,27
14/03/2025 11:09,2024,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,2090,1528,1528,562,0
14/03/2025 11:09,2024,Other UK Airports,BIGGIN HILL,825,0,0,825,825,253,0,0,253,253,61,0,0,61,61
14/03/2025 11:09,2024,Other UK Airports,BIRMINGHAM,59488,53154,51537,6334,6253,15212,13372,13223,1840,1661,13503,13500,13497,3,3
14/03/2025 11:09,2024,Other UK Airports,BLACKPOOL,0,0,0,0,0,4644,0,0,4644,4644,0,0,0,0,0
14/03/2025 11:09,2024,Other UK Airports,BOURNEMOUTH,5853,4391,4391,1462,1354,982,408,408,574,153,367,344,344,23,23
14/03/2025 11:09,2024,Other UK Airports,BRISTOL,52788,49415,49415,3373,3373,7002,6498,6498,504,504,11344,11337,11337,7,7
14/03/2025 11:09,2024,Other UK Airports,CAMPBELTOWN,10,0,0,10,10,0,0,0,0,0,1039,1039,1039,0,0
14/03/2025 11:09,2024,Other UK Airports,CARDIFF WALES,5522,3177,3177,2345,2345,424,9,9,415,383,1237,1196,1196,41,41
14/03/2025 11:09,2024,Other UK Airports,CITY OF DERRY (EGLINTON),36,0,0,36,36,0,0,0,0,0,3014,3014,3014,0,0
14/03/2025 11:09,2024,Other UK Airports,DUNDEE,25,0,0,25,25,23,0,0,23,23,1443,1418,1418,25,25
14/03/2025 11:09,2024,Other UK Airports,EAST MIDLANDS INTERNATIONAL,32368,27828,18805,4540,3835,5179,4455,1343,724,496,7929,7925,1859,4,4
