rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
14/03/2025 11:09,2024,Other UK Airports,EDINBURGH,58202,57671,56761,531,531,13767,13741,13741,26,26,44724,44662,42102,62,10
14/03/2025 11:09,2024,Other UK Airports,EXETER,2085,1115,1115,970,970,105,0,0,105,105,4029,3507,3507,522,23
14/03/2025 11:09,2024,Other UK Airports,FARNBOROUGH,6245,0,0,6245,6245,2049,0,0,2049,2049,596,0,0,596,596
14/03/2025 11:09,2024,Other UK Airports,GLASGOW,25821,23059,23059,2762,2762,4714,3964,3964,750,750,37099,36125,36115,974,16
14/03/2025 11:09,2024,Other UK Airports,HUMBERSIDE,2188,2052,2052,136,134,2263,0,0,2263,2087,821,783,783,38,38
14/03/2025 11:09,2024,Other UK Airports,INVERNESS,1325,1252,1252,73,73,39,8,8,31,31,8931,7646,7646,1285,80
14/03/2025 11:09,2024,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,1235,1235,1235,0,0
14/03/2025 11:09,2024,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,7600,7600,6720,0,0
14/03/2025 11:09,2024,Other UK Airports,KIRKWALL,0,0,0,0,0,69,32,32,37,37,9942,9464,9463,478,2
14/03/2025 11:09,2024,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,4891,4891,3997,0,0
14/03/2025 11:09,2024,Other UK Airports,LEEDS BRADFORD,26105,25850,25850,255,255,1903,1831,1831,72,72,3027,3019,3019,8,8
14/03/2025 11:09,2024,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,784,784,784,0,0
14/03/2025 11:09,2024,Other UK Airports,LIVERPOOL (JOHN LENNON),25421,25269,25269,152,152,2460,2441,2441,19,19,7642,7542,7542,100,100
14/03/2025 11:09,2024,Other UK Airports,LYDD,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
14/03/2025 11:09,2024,Other UK Airports,MANCHESTER,124279,114509,114206,9770,9757,45101,42215,42189,2886,2886,20654,20625,20625,29,29
14/03/2025 11:09,2024,Other UK Airports,NEWCASTLE,23408,23278,23278,130,11,4184,4184,4184,0,0,9626,9598,9598,28,9
14/03/2025 11:09,2024,Other UK Airports,NEWQUAY,1654,1645,1645,9,9,68,60,60,8,8,3794,3772,3772,22,22
14/03/2025 11:09,2024,Other UK Airports,NORWICH,3434,2775,2775,659,659,8640,0,0,8640,8640,1219,1200,1200,19,19
14/03/2025 11:09,2024,Other UK Airports,OXFORD (KIDLINGTON),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14/03/2025 11:09,2024,Other UK Airports,PRESTWICK,3519,3476,3186,43,28,326,290,0,36,4,18,8,0,10,7
14/03/2025 11:09,2024,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/03/2025 11:09,2024,Other UK Airports,SOUTHAMPTON,4334,4263,4263,71,71,200,198,198,2,2,12808,12775,12775,33,33
14/03/2025 11:09,2024,Other UK Airports,STORNOWAY,6,0,0,6,6,0,0,0,0,0,5234,4120,4120,1114,0
14/03/2025 11:09,2024,Other UK Airports,SUMBURGH,3,0,0,3,3,5175,56,56,5119,5119,8073,4680,4680,3393,2794
14/03/2025 11:09,2024,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,2669,2528,2412,141,137,31,0,0,31,31,836,798,682,38,38
14/03/2025 11:09,2024,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,1612,1612,1612,0,0
14/03/2025 11:09,2024,Other UK Airports,WICK JOHN O GROATS,0,0,0,0,0,18,0,0,18,18,1040,1032,1032,8,8
14/03/2025 11:09,2024,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,4282,4282,4269,0,0
14/03/2025 11:09,2024,Non UK Reporting Airports,GUERNSEY,616,532,532,84,84,17,16,16,1,1,17216,15991,15964,1225,26
14/03/2025 11:09,2024,Non UK Reporting Airports,ISLE OF MAN,934,790,790,144,144,7,0,0,7,7,8545,8534,8534,11,10
14/03/2025 11:09,2024,Non UK Reporting Airports,JERSEY,734,392,392,342,342,33,0,0,33,33,17173,17151,16646,22,22

