rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
14/03/2025 11:31,2024,2023,London Area Airports,GATWICK,265608,265608,0,257778,257778,0,3.037497,3.037497,
14/03/2025 11:31,2024,2023,London Area Airports,HEATHROW,482143,479506,2637,463854,459637,4217,3.942835,4.322759,-37.467394
14/03/2025 11:31,2024,2023,London Area Airports,LONDON CITY,48888,48888,0,50525,50525,0,-3.239980,-3.239980,
14/03/2025 11:31,2024,2023,London Area Airports,LUTON,102597,100843,1754,100378,98917,1461,2.210644,1.947087,20.054757
14/03/2025 11:31,2024,2023,London Area Airports,SOUTHEND,2007,2007,0,994,963,31,101.911469,108.411215,-.000000
14/03/2025 11:31,2024,2023,London Area Airports,STANSTED,188946,179065,9881,179030,170188,8842,5.538737,5.215996,11.750735
14/03/2025 11:31,2024,2023,Other UK Airports,ABERDEEN,60677,59186,1491,58049,57625,424,4.527210,2.708894,251.650943
14/03/2025 11:31,2024,2023,Other UK Airports,BARRA,1367,1367,0,1383,1383,0,-1.156905,-1.156905,
14/03/2025 11:31,2024,2023,Other UK Airports,BELFAST CITY (GEORGE BEST),30371,30371,0,29373,29373,0,3.397678,3.397678,
14/03/2025 11:31,2024,2023,Other UK Airports,BELFAST INTERNATIONAL,51864,47881,3983,47748,43661,4087,8.620256,9.665376,-2.544654
14/03/2025 11:31,2024,2023,Other UK Airports,BENBECULA,2090,1528,562,2007,1457,550,4.135526,4.873027,2.181818
14/03/2025 11:31,2024,2023,Other UK Airports,BIGGIN HILL,1139,1139,0,640,640,0,77.968750,77.968750,
14/03/2025 11:31,2024,2023,Other UK Airports,BIRMINGHAM,88203,86174,2029,81049,79075,1974,8.826759,8.977553,2.786221
14/03/2025 11:31,2024,2023,Other UK Airports,BLACKPOOL,4644,4644,0,4030,4030,0,15.235732,15.235732,
14/03/2025 11:31,2024,2023,Other UK Airports,BOURNEMOUTH,7202,6673,529,6024,5778,246,19.555113,15.489789,115.040650
14/03/2025 11:31,2024,2023,Other UK Airports,BRISTOL,71134,71134,0,68635,68635,0,3.640999,3.640999,
14/03/2025 11:31,2024,2023,Other UK Airports,CAMPBELTOWN,1049,1049,0,1057,1057,0,-0.756859,-0.756859,
14/03/2025 11:31,2024,2023,Other UK Airports,CARDIFF WALES,7183,7151,32,7765,7764,1,-7.495171,-7.895415,"3,.000000"
14/03/2025 11:31,2024,2023,Other UK Airports,CITY OF DERRY (EGLINTON),3050,3050,0,3040,3040,0,0.328947,0.328947,
14/03/2025 11:31,2024,2023,Other UK Airports,DUNDEE,1491,1491,0,1655,1655,0,-9.909366,-9.909366,
14/03/2025 11:31,2024,2023,Other UK Airports,EAST MIDLANDS INTERNATIONAL,45363,26342,19021,48622,25537,23085,-6.702727,3.152289,-17.604505
14/03/2025 11:31,2024,2023,Other UK Airports,EDINBURGH,116693,113171,3522,111335,106734,4601,4.812503,6.030881,-23.451424
14/03/2025 11:31,2024,2023,Other UK Airports,EXETER,6219,5720,499,6666,6210,456,-6.705671,-7.890499,9.429825
14/03/2025 11:31,2024,2023,Other UK Airports,FARNBOROUGH,8890,8890,0,9168,9168,0,-3.032286,-3.032286,
14/03/2025 11:31,2024,2023,Other UK Airports,GLASGOW,67634,66666,968,63878,63819,59,5.879959,4.461054,"1,540.677966"
14/03/2025 11:31,2024,2023,Other UK Airports,HUMBERSIDE,5272,5094,178,4956,4831,125,6.376110,5.444007,42.400000
