rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
14/03/2025 10:59,2024,HEATHROW,83857297,292488416,80886589,296839124
14/03/2025 10:59,2024,GATWICK,43242155,292488416,46574786,296839124
14/03/2025 10:59,2024,MANCHESTER,30755578,292488416,29367477,296839124
14/03/2025 10:59,2024,STANSTED,29694312,292488416,28124292,296839124
14/03/2025 10:59,2024,LUTON,16937118,292488416,18213901,296839124
14/03/2025 10:59,2024,EDINBURGH,15779491,292488416,14733966,296839124
14/03/2025 10:59,2024,BIRMINGHAM,12847682,292488416,12646456,296839124
14/03/2025 10:59,2024,BRISTOL,10614415,292488416,8959679,296839124
14/03/2025 10:59,2024,GLASGOW,8064791,292488416,8843214,296839124
14/03/2025 10:59,2024,BELFAST INTERNATIONAL,6750440,292488416,6278374,296839124
14/03/2025 10:59,2024,NEWCASTLE,5142738,292488416,5198952,296839124
14/03/2025 10:59,2024,LIVERPOOL (JOHN LENNON),5074088,292488416,5043975,296839124
14/03/2025 10:59,2024,LEEDS BRADFORD,4222256,292488416,3992209,296839124
14/03/2025 10:59,2024,EAST MIDLANDS INTERNATIONAL,4133198,292488416,4674338,296839124
14/03/2025 10:59,2024,LONDON CITY,3573250,292488416,5122271,296839124
14/03/2025 10:59,2024,BELFAST CITY (GEORGE BEST),2391042,292488416,2455259,296839124
14/03/2025 10:59,2024,ABERDEEN,2300657,292488416,2912743,296839124
14/03/2025 10:59,2024,BOURNEMOUTH,1088370,292488416,803127,296839124
14/03/2025 10:59,2024,CARDIFF WALES,874714,292488416,1654920,296839124
14/03/2025 10:59,2024,SOUTHAMPTON,852501,292488416,1781308,296839124
14/03/2025 10:59,2024,INVERNESS,796408,292488416,937728,296839124
14/03/2025 10:59,2024,PRESTWICK,535101,292488416,638975,296839124
14/03/2025 10:59,2024,EXETER,449722,292488416,1021705,296839124
14/03/2025 10:59,2024,NEWQUAY,415989,292488416,461469,296839124
14/03/2025 10:59,2024,NORWICH,415099,292488416,530328,296839124
14/03/2025 10:59,2024,SOUTHEND,287758,292488416,2035535,296839124
14/03/2025 10:59,2024,SUMBURGH,287211,292488416,267420,296839124
14/03/2025 10:59,2024,TEESSIDE INTERNATIONAL AIRPORT,227784,292488416,147824,296839124
14/03/2025 10:59,2024,CITY OF DERRY (EGLINTON),179095,292488416,203777,296839124
14/03/2025 10:59,2024,HUMBERSIDE,150615,292488416,201818,296839124
14/03/2025 10:59,2024,KIRKWALL,135580,292488416,161516,296839124
14/03/2025 10:59,2024,STORNOWAY,100807,292488416,129500,296839124
14/03/2025 10:59,2024,ISLES OF SCILLY (ST.MARYS),68086,292488416,93927,296839124
14/03/2025 10:59,2024,LANDS END (ST JUST),49580,292488416,63847,296839124
14/03/2025 10:59,2024,FARNBOROUGH,38342,292488416,0,296839124
14/03/2025 10:59,2024,ISLAY,30535,292488416,34771,296839124
14/03/2025 10:59,2024,DUNDEE,30355,292488416,20917,296839124
14/03/2025 10:59,2024,BENBECULA,26471,292488416,34656,296839124
14/03/2025 10:59,2024,BLACKPOOL,18729,292488416,15213,296839124
14/03/2025 10:59,2024,BARRA,11057,292488416,14599,296839124
14/03/2025 10:59,2024,WICK JOHN O GROATS,9963,292488416,12892,296839124
14/03/2025 10:59,2024,TIREE,9829,292488416,11944,296839124
14/03/2025 10:59,2024,BIGGIN HILL,8353,292488416,2262,296839124
14/03/2025 10:59,2024,CAMPBELTOWN,7007,292488416,7975,296839124
14/03/2025 10:59,2024,LERWICK (TINGWALL),2840,292488416,3309,296839124
14/03/2025 10:59,2024,LYDD,5,292488416,39,296839124
14/03/2025 10:59,2024,OXFORD (KIDLINGTON),2,292488416,0,296839124
14/03/2025 10:59,2024,DONCASTER SHEFFIELD,0,292488416,1407862,296839124
14/03/2025 10:59,2024,SCATSTA,0,292488416,109480,296839124

