rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
14/03/2025 11:05,2024,1,3,Other UK Airports,CARDIFF WALES,7183,1313,3061,8,2630,131,40
14/03/2025 11:05,2024,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),3050,3012,2,0,22,14,0
14/03/2025 11:05,2024,1,3,Other UK Airports,DUNDEE,1491,1418,0,0,30,31,12
14/03/2025 11:05,2024,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,45476,21658,15717,2833,4211,923,134
14/03/2025 11:05,2024,1,3,Other UK Airports,EDINBURGH,116693,63128,42728,10218,390,211,18
14/03/2025 11:05,2024,1,3,Other UK Airports,EXETER,6219,3508,1114,0,1590,7,0
14/03/2025 11:05,2024,1,3,Other UK Airports,FARNBOROUGH,8890,0,0,0,1534,6019,1337
14/03/2025 11:05,2024,1,3,Other UK Airports,GLASGOW,67634,49347,11924,1877,4321,124,41
14/03/2025 11:05,2024,1,3,Other UK Airports,HUMBERSIDE,5272,783,2052,0,2351,86,0
14/03/2025 11:05,2024,1,3,Other UK Airports,INVERNESS,10295,7658,1248,0,1279,97,13
14/03/2025 11:05,2024,1,3,Other UK Airports,ISLAY,1235,1235,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),7600,7600,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,KIRKWALL,10011,9496,0,0,515,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,LANDS END (ST JUST),4891,4891,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,LEEDS BRADFORD,31035,14470,16050,180,204,59,72
14/03/2025 11:05,2024,1,3,Other UK Airports,LERWICK (TINGWALL),784,784,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),35523,19702,15438,112,135,134,2
14/03/2025 11:05,2024,1,3,Other UK Airports,LYDD,2,0,0,0,0,2,0
14/03/2025 11:05,2024,1,3,Other UK Airports,MANCHESTER,190034,84662,70917,21770,12477,199,9
14/03/2025 11:05,2024,1,3,Other UK Airports,NEWCASTLE,37218,23167,12424,1469,8,13,137
14/03/2025 11:05,2024,1,3,Other UK Airports,NEWQUAY,5516,3735,1682,60,22,15,2
14/03/2025 11:05,2024,1,3,Other UK Airports,NORWICH,13293,1200,2775,0,9262,56,0
14/03/2025 11:05,2024,1,3,Other UK Airports,OXFORD (KIDLINGTON),1,0,0,0,0,1,0
14/03/2025 11:05,2024,1,3,Other UK Airports,PRESTWICK,3863,8,3766,0,21,34,34
14/03/2025 11:05,2024,1,3,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,SOUTHAMPTON,17342,12309,4921,6,100,6,0
14/03/2025 11:05,2024,1,3,Other UK Airports,STORNOWAY,5240,4120,0,0,1116,4,0
14/03/2025 11:05,2024,1,3,Other UK Airports,SUMBURGH,13251,4736,0,0,8511,4,0
14/03/2025 11:05,2024,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,3536,682,2412,232,134,47,29
14/03/2025 11:05,2024,1,3,Other UK Airports,TIREE,1612,1612,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,WICK JOHN O GROATS,1058,1032,0,0,24,0,2
14/03/2025 11:05,2024,2,4,Non UK Reporting Airports,ALDERNEY,4282,4282,0,0,0,0,0
14/03/2025 11:05,2024,2,4,Non UK Reporting Airports,GUERNSEY,17849,16539,0,0,1294,16,0
14/03/2025 11:05,2024,2,4,Non UK Reporting Airports,ISLE OF MAN,9486,8549,775,0,104,55,3
14/03/2025 11:05,2024,2,4,Non UK Reporting Airports,JERSEY,17940,17391,152,0,304,93,0

