rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
14/03/2025 11:05,2024,1,1,London Area Airports,GATWICK,265608,175874,50511,27054,11873,278,18
14/03/2025 11:05,2024,1,1,London Area Airports,HEATHROW,482143,269774,88302,123019,133,861,54
14/03/2025 11:05,2024,1,1,London Area Airports,LONDON CITY,48888,31280,15049,2554,5,0,0
14/03/2025 11:05,2024,1,1,London Area Airports,LUTON,102597,62518,36321,2156,891,708,3
14/03/2025 11:05,2024,1,1,London Area Airports,SOUTHEND,2007,45,1872,72,0,18,0
14/03/2025 11:05,2024,1,1,London Area Airports,STANSTED,188987,36727,130773,18717,2389,77,304
14/03/2025 11:05,2024,1,3,Other UK Airports,ABERDEEN,60677,20709,6142,2193,31509,116,8
14/03/2025 11:05,2024,1,3,Other UK Airports,BARRA,1367,1367,0,0,0,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),30371,27972,2200,0,147,50,2
14/03/2025 11:05,2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,51864,47466,3146,493,539,140,80
14/03/2025 11:05,2024,1,3,Other UK Airports,BENBECULA,2090,1528,0,0,562,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,BIGGIN HILL,1139,0,0,0,117,920,102
14/03/2025 11:05,2024,1,3,Other UK Airports,BIRMINGHAM,88203,30812,40276,8938,7778,214,185
14/03/2025 11:05,2024,1,3,Other UK Airports,BLACKPOOL,4644,0,0,0,4644,0,0
14/03/2025 11:05,2024,1,3,Other UK Airports,BOURNEMOUTH,7202,690,4390,63,2024,35,0
14/03/2025 11:05,2024,1,3,Other UK Airports,BRISTOL,71134,43824,22615,811,3806,24,54
14/03/2025 11:05,2024,1,3,Other UK Airports,CAMPBELTOWN,1049,1039,0,0,0,10,0
