rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_mail,mail_set_down_scheduled_UK,mail_picked_up_scheduled_UK,mail_set_down_scheduled_foreign_EU,mail_picked_up_scheduled_foreign_EU,mail_set_down_scheduled_foreign_non_EU,mail_picked_up_scheduled_foreign_non_EU,mail_set_down_charter_UK,mail_picked_up_charter_UK,mail_set_down_charter_foreign_EU,mail_picked_up_charter_foreign_EU,mail_set_down_charter_foreign_non_EU,mail_picked_up_charter_foreign_non_EU
14/03/2025 11:08:54,2024,London Area Airports,  GATWICK,2129.573000,71.183000,542.842000,274.260000,566.708000,19.161000,649.817000,0.036000,5.566000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,London Area Airports,  HEATHROW,42946.597000,4343.262000,11508.126000,2484.889000,1201.413000,9363.234000,14045.673000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,London Area Airports,  LUTON,981.731000,0.000000,0.000000,0.000000,4.768000,0.000000,4.677000,0.000000,0.000000,170.098000,802.188000,0.000000,0.000000
14/03/2025 11:08:54,2024,London Area Airports,  STANSTED,6060.032000,91.641000,677.177000,51.179000,48.808000,233.893000,34.778000,642.042000,4280.514000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  ABERDEEN,919.470000,0.005000,0.655000,0.281000,0.000000,0.000000,0.000000,580.794000,337.734000,0.001000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  BELFAST INTERNATIONAL,13621.065000,8759.397000,4860.697000,0.971000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  BENBECULA,558.091000,0.000000,0.155000,0.000000,0.000000,0.000000,0.000000,492.462000,65.474000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  BIRMINGHAM,14.219000,0.030000,0.000000,0.131000,0.008000,1.665000,12.385000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,14746.773000,5760.786000,8145.202000,402.855000,0.000000,0.000000,0.000000,0.000000,0.000000,421.078000,0.000000,16.852000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  EDINBURGH,10758.735000,6866.531000,3866.935000,0.232000,0.081000,0.076000,24.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  EXETER,2081.949000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1186.666000,895.283000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  GLASGOW,1973.866000,32.743000,82.705000,0.452000,0.000000,0.260000,0.329000,348.335000,1509.042000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  INVERNESS,2629.358000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1329.730000,1299.628000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  ISLAY,80.432000,57.308000,23.124000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),257.500000,186.500000,71.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  KIRKWALL,974.810000,1.656000,14.149000,0.000000,0.000000,0.000000,0.000000,798.138000,160.867000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  LANDS END (ST JUST),254.800000,69.600000,185.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  MANCHESTER,424.914000,0.351000,208.365000,1.149000,103.479000,0.804000,110.756000,0.001000,0.009000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  PRESTWICK,17.090000,0.000000,0.000000,17.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  STORNOWAY,845.126000,0.325000,0.302000,0.000000,0.000000,0.000000,0.000000,670.924000,173.575000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  SUMBURGH,1098.544000,0.156000,0.000000,0.000000,0.000000,0.000000,0.000000,939.299000,159.089000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Other UK Airports,  TIREE,33.594000,25.736000,7.858000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Non UK Reporting Airports,  ALDERNEY,62.107000,52.966000,9.141000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Non UK Reporting Airports,  GUERNSEY,2150.953000,9.613000,52.549000,0.000000,0.000000,0.000000,0.000000,897.429000,1191.362000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Non UK Reporting Airports,  ISLE OF MAN,10.011000,0.030000,9.981000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14/03/2025 11:08:54,2024,Non UK Reporting Airports,  JERSEY,2.536000,2.458000,0.078000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000

