rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,GATWICK,254540,262571,277094,283437,283186,282896,79489,52344,217495,257778,265608,3.037497381
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,HEATHROW,470708,472058,473199,476186,480339,479811,207021,193134,384383,463854,482143,3.942835461
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,LONDON CITY,70133,79251,80449,76611,78037,80931,19554,12921,44731,50525,48888,-3.239980208
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,LUTON,75616,87440,102931,106064,106666,112745,49251,41656,87792,100380,102597,2.208607292
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,SOUTHEND,11541,8975,8276,11331,17088,19162,4892,1544,1120,994,2007,101.911468813
14/03/2025 19:29,2024 - 2024,1,1,London Area Airports,STANSTED,143230,154478,164213,172109,185660,183566,74417,77278,159812,179193,188987,5.465615286
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,ABERDEEN,106143,95687,77679,81926,81552,78209,47430,47411,56882,58049,60677,4.527209771
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BARRA,882,947,1313,1394,1390,1366,1047,1247,1456,1383,1367,-1.156905278
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),36052,40571,41370,36891,35845,34625,10095,12217,25308,29373,30371,3.397678140
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,34795,36273,38104,41691,46115,47230,19416,24008,38489,47748,51864,8.620256346
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BENBECULA,1681,1692,1755,1827,1960,1974,1299,1645,1977,2007,2090,4.135525660
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BIGGIN HILL,34,24,61,146,202,325,277,433,656,640,1139,77.968750000
14/03/2025 19:29,2024 - 2024,1,3,Other UK Airports,BIRMINGHAM,89056,89837,104246,112128,104553,102515,31968,28523,71927,81049,88203,8.826759121
